publishedAt,title,author,url,urlToImage,description
2018-02-18T21:21:58Z,"Trump Is Trump: Yesterday, Today, and Tomorrow","Michael Nelson, Michael Nelson",http://historynewsnetwork.org/article/168141,//historynewsnetwork.org/sites/default/files/168141-ahjasvcdscv.jpg,His real estate background isn’t helping him govern.
2018-02-20T18:01:35Z,Trump denies kissing receptionist at Trump Tower,"http://www.dailymail.co.uk/home/search.html?s=&authornamef=Afp, By Afp",http://www.dailymail.co.uk/wires/afp/article-5414303/Trump-denies-kissing-receptionist-Trump-Tower.html,http://i.dailymail.co.uk/1/2018/02/20/18/wire-2342028-1519149693-964_636x382.jpg,"President Donald Trump on Tuesday denied allegations by a former receptionist that he had kissed her without her consent in an elevator lobby of Trump Tower,..."
2018-02-03T17:52:00Z,Trump: FBI-notat renser fuldstændig 'Trump',,https://www.dr.dk/nyheder/udland/trump-fbi-notat-renser-fuldstaendig-trump,http://www.dr.dk/design/www/global/img/global/DRLogos/DR_logo_new2.jpg,"Men den russiske heksejagt fortsætter, siger USA's præsident."
2018-02-27T22:16:52Z,Trump Being Trump Makes Him Less Popular,Ed Kilgore,http://nymag.com/daily/intelligencer/2018/02/trump-being-trump-seems-to-make-him-less-popular.html,https://pixel.nymag.com/imgs/daily/intelligencer/2018/02/27/27-trump-trumpy.w1200.h630.jpg,"The GOP has an unusually acute problem in mobilizing a party base that glories in Trumpian outrages, without frightening the rest of the country."
2018-05-23T21:10:47Z,‘Orbán was Trump vóór Trump’,,https://www.volkskrant.nl/nieuws-achtergrond/-orban-was-trump-voor-trump-~bc2c385d/,https://images4.persgroep.net/rcs/kGSjjfR4E8IuNUpWyz_pmklNiuo/diocontent/124050619/_fitwidth/763?appId=93a17a8fd81db0de025c8abd1cca1279&quality=0.8,"De mondiale fine fleur van het rechts-nationalisme verzamelde zich woensdag in Boedapest. Met als hoofdact Steve Bannon, de voormalige raspoetin van Donald Trump. Het tekent de veranderende sfeer in Hongarije."
2018-02-09T14:05:08Z,Skeptics on Trump infrastructure plan include Trump,Heidi Przybyla,https://www.nbcnews.com/politics/donald-trump/skeptics-trump-infrastructure-plan-include-trump-n846086,https://media2.s-nbcnews.com/j/newscms/2018_06/2321861/180208-new-orleans-infrastructure-se-436p_8f62070e5d582efc6f008f9c88bf359f.nbcnews-fp-1200-630.jpg,The White House is preparing to release an infrastructure plan but it's still unclear whether Trump supports its core concept of public-private partnerships.
2018-02-26T15:38:14Z,Stop sucking up to ‘gun culture.’ Americans who don’t have guns also matter.,(Greg Sargent),https://www.washingtonpost.com/blogs/plum-line/wp/2018/02/26/stop-sucking-up-to-gun-culture-americans-who-dont-have-guns-also-matter/,https://www.washingtonpost.com/resizer/aWm_bVr39VLRM9nxf91q1fbcEE4=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/ASJXRYMGLE43BPYO5SXBIEXLU4.JPG,"gun culture, gun control, gun reform, cnn poll, cnn polling, republican party, gop, trump, donald trump, congress, republicans in congress, impeach trump, impeach donald trump"
2018-03-15T03:16:40Z,Trump loses in Trump country,,https://www.msnbc.com/the-last-word/watch/trump-loses-in-trump-country-1186345539652,https://media1.s-nbcnews.com/j/MSNBC/Components/Video/201803/n_lw_atrumploss_180314_1920x1080.1200;630;7;70;5.jpg,"Democrats turned out to lead Conor Lamb to an apparent victory in Pennsylvania's special election, but he couldn't have done it without some GOP votes in spite of the president's personal pleas. Lawrence O'Donnell explains why Republicans should be worried."
2018-03-23T20:30:52Z,"Trump Giveth, Trump Taketh Away",Brian Maher,https://dailyreckoning.com/trump-giveth-trump-taketh-away/,https://dailyreckoning.com/wp-content/uploads/2017/06/shutterstock_636139745.jpg,"This post Trump Giveth, Trump Taketh Away appeared first on Daily Reckoning. The stock market loved Trump’s tax cuts, deregulation and infrastructure plans. But it hates his trade war... Retaliatory Chinese tariffs could cost U.S. exporters up to $700 million…"
2018-05-14T15:09:53Z,Israeli soccer team plans to take Trump’s name after president’s ‘courageous move’,Shawn Langlois,https://www.marketwatch.com/story/israeli-soccer-team-plans-to-take-trumps-name-after-presidents-courageous-move-2018-05-14,http://s.marketwatch.com/public/resources/MWimages/MW-GJ149_trump_MG_20180514103938.jpg,Trump Water. Trump Steaks. Trump Wine. Trump University. And now... Beitar Trump Jerusalem.
